         431035 function calls (430888 primitive calls) in 1.386 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.838    0.838 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/urllib3/connection.py:485(getresponse)
        8    0.000    0.000    0.000    0.000 <frozen _collections_abc>:941(update)
       53    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/re/__init__.py:225(compile)
       29    0.000    0.000    0.000    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/urllib3/_collections.py:257(__getitem__)
        1    0.000    0.000    0.909    0.909 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/urllib3/connectionpool.py:377(_make_request)
        1    0.000    0.000    0.000    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/urllib3/_collections.py:335(extend)
        1    0.000    0.000    0.025    0.025 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/http/client.py:206(_read_headers)
       25    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/email/_policybase.py:293(header_source_parse)
        1    0.000    0.000    0.910    0.910 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/requests/adapters.py:613(send)
        6    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/re/_compiler.py:738(compile)
       31    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/email/_policybase.py:281(_sanitize_header)
        2    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/socket.py:220(__init__)
       11    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/queue.py:122(put)
       52    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/enum.py:192(__get__)
       38    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       39    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
        6    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/re/_parser.py:970(parse)
       39    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
      4/3    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap>:1165(_find_and_load)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
       72    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/re/_parser.py:252(get)
        1    0.000    0.000    0.040    0.040 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/ssl.py:1018(_create)
        1    0.000    0.000    1.019    1.019 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/requests/sessions.py:673(send)
        2    0.000    0.000    0.000    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/urllib3/util/url.py:367(parse_url)
        1    0.000    0.000    0.000    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/urllib3/response.py:577(__init__)
        6    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/re/_compiler.py:571(_code)
        1    0.000    0.000    0.002    0.002 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/urllib/request.py:2567(_proxy_bypass_macosx_sysconf)
        2    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/urllib/parse.py:452(urlsplit)
        3    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
        8    0.000    0.000    0.001    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/builder/_htmlparser.py:226(handle_charref)
       12    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/enum.py:1515(__and__)
        4    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/http/cookiejar.py:884(__init__)
        1    0.000    0.000    1.030    1.030 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/requests/sessions.py:500(request)
        1    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/http/client.py:957(close)
