         343994 function calls (343841 primitive calls) in 10.506 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    2.241    1.121 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/urllib3/connectionpool.py:592(urlopen)
        2    0.000    0.000    0.000    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/urllib3/connection.py:369(request)
        1    0.000    0.000    1.211    1.211 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/urllib3/connection.py:669(connect)
       68    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       22    0.000    0.000    0.000    0.000 <frozen _collections_abc>:771(get)
        3    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap_external>:1007(get_code)
        2    0.000    0.000    0.000    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/urllib3/poolmanager.py:95(_default_key_normalizer)
        1    0.000    0.000    0.168    0.168 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/__init__.py:209(__init__)
        2    0.000    0.000    1.028    0.514 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/http/client.py:311(begin)
       38    0.000    0.000    0.000    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/element.py:524(get_text)
        2    0.000    0.000    2.241    1.120 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/urllib3/connectionpool.py:377(_make_request)
       65    0.000    0.000    0.000    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/requests/structures.py:46(__setitem__)
        6    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/re/_compiler.py:738(compile)
       33    0.000    0.000    0.001    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/builder/_htmlparser.py:127(handle_startendtag)
